city,days,travel_type,interest,recommended_budget
Amsterdam,6,family,shopping,2071
Barcelona,6,family,nature,1910
Rome,4,solo,nightlife,523
Rome,7,solo,nature,897
Amsterdam,7,couple,nature,1757
Amsterdam,6,solo,nightlife,797
Barcelona,5,solo,culture,718
Rome,3,family,nature,1064
Rome,5,family,nightlife,1588
Paris,4,solo,shopping,634
Barcelona,2,family,nature,631
Paris,5,couple,nature,1424
Paris,3,solo,nature,433
Amsterdam,5,family,nightlife,1657
Rome,7,solo,nightlife,859
Amsterdam,3,couple,nature,667
Berlin,5,couple,culture,940
Berlin,3,couple,nature,599
Amsterdam,7,family,nightlife,2364
Amsterdam,2,couple,nightlife,588
Barcelona,3,family,culture,823
Berlin,2,solo,culture,256
Barcelona,2,solo,shopping,148
Paris,5,family,shopping,2017
Paris,4,family,culture,1522
Barcelona,3,family,nature,840
Amsterdam,2,couple,culture,423
Barcelona,4,couple,shopping,750
Paris,4,solo,shopping,705
Rome,2,solo,nature,406
Rome,2,family,shopping,639
Berlin,5,solo,shopping,462
Paris,5,solo,nightlife,781
Barcelona,6,family,shopping,1728
Amsterdam,6,family,shopping,2242
Amsterdam,3,couple,culture,675
Paris,6,couple,nightlife,1457
Amsterdam,5,couple,nature,1164
Berlin,5,solo,shopping,589
Paris,2,solo,shopping,389
Paris,5,solo,culture,652
Rome,2,couple,culture,566
Rome,3,family,shopping,992
Paris,5,solo,nature,890
Berlin,5,couple,shopping,879
Rome,2,solo,culture,343
Paris,4,solo,nature,629
Amsterdam,7,family,culture,2573
Paris,2,family,nature,779
Barcelona,5,couple,nightlife,1117
Amsterdam,4,family,culture,1337
Barcelona,5,couple,nature,1133
Rome,2,solo,nightlife,346
Barcelona,4,family,nightlife,1246
Berlin,4,family,shopping,1047
Amsterdam,2,solo,nightlife,307
Berlin,2,family,nightlife,584
Paris,3,family,shopping,1246
Berlin,4,family,nightlife,1043
Berlin,2,solo,nature,228
Amsterdam,6,solo,nightlife,986
Paris,2,family,shopping,697
Rome,5,couple,nightlife,1165
Amsterdam,4,solo,nightlife,623
Amsterdam,7,family,nightlife,2566
Rome,2,solo,nature,287
Berlin,3,couple,shopping,617
Barcelona,2,solo,nightlife,172
Barcelona,5,family,shopping,1544
Paris,5,family,shopping,1988
Barcelona,4,couple,nightlife,742
Rome,3,solo,nature,386
Amsterdam,2,solo,nightlife,240
Rome,5,family,nightlife,1573
Paris,5,couple,culture,1220
Barcelona,7,family,nightlife,2232
Barcelona,6,solo,nature,800
Rome,5,solo,nightlife,740
Barcelona,6,family,culture,1766
Berlin,2,couple,shopping,293
Berlin,4,couple,nightlife,693
Berlin,4,couple,nature,797
Paris,2,solo,shopping,445
Barcelona,3,family,nature,898
Berlin,2,solo,nightlife,349
Paris,5,solo,nightlife,714
Amsterdam,4,family,shopping,1391
Berlin,3,family,shopping,735
Rome,2,couple,shopping,531
Barcelona,7,couple,nature,1413
Paris,5,couple,nature,1189
Rome,5,solo,culture,557
Barcelona,5,solo,shopping,695
Barcelona,5,couple,shopping,1018
Amsterdam,6,couple,nightlife,1433
Rome,2,family,shopping,641
Berlin,3,solo,nature,316
Paris,5,solo,culture,707
Berlin,2,family,nature,495
Paris,6,solo,culture,815
Barcelona,6,couple,culture,1370
Rome,5,couple,nightlife,1183
Barcelona,7,solo,culture,945
Amsterdam,6,family,culture,2093
Amsterdam,6,couple,nature,1503
Barcelona,5,solo,nature,721
Barcelona,3,couple,nature,580
Amsterdam,3,family,nature,1199
Rome,3,solo,nightlife,358
Barcelona,5,family,nature,1640
Amsterdam,4,couple,shopping,975
Paris,2,solo,shopping,370
Barcelona,5,family,culture,1560
Berlin,4,solo,culture,311
Berlin,6,family,nature,1434
Paris,3,solo,nature,551
Berlin,7,couple,shopping,1194
Amsterdam,3,solo,nature,556
Rome,6,solo,culture,928
Amsterdam,3,solo,culture,471
Rome,2,family,nightlife,585
Berlin,2,family,nightlife,551
Barcelona,5,solo,shopping,512
Paris,4,solo,nature,516
Paris,7,solo,nature,1090
Rome,4,solo,nightlife,559
Barcelona,2,family,nightlife,508
Amsterdam,7,family,nightlife,2401
Rome,3,family,nightlife,991
Barcelona,4,solo,nightlife,502
Barcelona,5,solo,shopping,643
Paris,6,solo,nature,985
Berlin,6,family,shopping,1620
Rome,4,couple,shopping,859
Paris,3,couple,nightlife,809
Barcelona,7,family,nature,2140
Berlin,2,couple,shopping,361
Berlin,6,solo,culture,665
Rome,6,solo,nature,923
Paris,2,solo,nightlife,235
Amsterdam,4,solo,nightlife,641
Rome,3,couple,shopping,601
Rome,6,solo,nature,899
Berlin,5,solo,shopping,504
Paris,4,solo,nightlife,689
Paris,5,solo,culture,705
Paris,7,solo,nature,1007
Amsterdam,6,solo,culture,786
Barcelona,7,solo,shopping,968
Amsterdam,4,family,nightlife,1484
Berlin,2,solo,nature,242
Paris,6,couple,nature,1432
Paris,4,couple,nightlife,935
Amsterdam,5,solo,nightlife,721
Amsterdam,5,couple,nightlife,1275
Amsterdam,3,solo,culture,547
Rome,7,family,culture,2375
Paris,6,solo,nightlife,1039
Barcelona,6,couple,shopping,1257
Berlin,4,solo,shopping,452
Berlin,3,couple,nature,518
Barcelona,2,couple,culture,453
Paris,4,solo,nature,562
Paris,7,family,shopping,2701
Barcelona,2,couple,culture,406
Paris,6,family,nature,2369
Paris,6,family,culture,2251
Rome,6,family,culture,1902
Barcelona,3,couple,shopping,656
Barcelona,7,solo,nature,740
Rome,6,solo,nightlife,869
Paris,2,couple,nightlife,504
Berlin,3,couple,nature,527
Rome,4,couple,nightlife,976
Amsterdam,6,couple,nature,1384
Paris,6,solo,nature,865
Rome,4,family,nature,1391
Amsterdam,3,couple,nature,711
Berlin,7,family,shopping,1828
Berlin,5,solo,nature,624
Amsterdam,7,family,nature,2400
Paris,6,solo,nightlife,937
Paris,3,solo,nightlife,433
Barcelona,3,couple,culture,705
Barcelona,7,family,shopping,2239
Rome,4,family,culture,1350
Rome,7,solo,shopping,905
Rome,4,solo,nightlife,597
Barcelona,3,family,shopping,820
Barcelona,3,couple,culture,533
Barcelona,7,solo,culture,972
Amsterdam,3,couple,nature,790
Berlin,6,family,culture,1425
Paris,2,couple,shopping,465
Rome,6,solo,nature,715
Paris,2,family,culture,829
Berlin,5,family,nature,1365
Berlin,6,couple,nature,1106
Rome,4,family,shopping,1437
Rome,5,solo,nature,799
Rome,4,family,nightlife,1416
Barcelona,5,couple,shopping,1104
Paris,7,couple,nature,1728
Paris,2,solo,nightlife,224
Amsterdam,3,family,culture,1058
Berlin,5,family,nature,1183
Paris,5,family,nature,1943
Barcelona,7,couple,nightlife,1553
Rome,4,solo,nature,648
Paris,2,solo,nature,220
Amsterdam,7,family,nature,2411
Paris,4,family,shopping,1439
Barcelona,5,family,nature,1465
Amsterdam,5,family,nightlife,1728
Paris,7,couple,shopping,1746
Paris,3,family,shopping,1160
Berlin,4,solo,nightlife,432
Berlin,7,family,nightlife,1874
Amsterdam,2,family,culture,689
Barcelona,7,family,shopping,2099
Barcelona,4,family,culture,1233
Berlin,3,solo,shopping,337
Amsterdam,3,solo,nightlife,449
Amsterdam,2,family,culture,672
Paris,2,family,shopping,801
Rome,7,family,culture,2243
Amsterdam,5,couple,nature,1206
Rome,2,couple,nightlife,568
Rome,2,couple,nightlife,405
Barcelona,4,solo,culture,393
Amsterdam,7,family,culture,2514
Barcelona,4,family,nature,1253
Amsterdam,2,solo,nature,268
Berlin,7,family,culture,1815
Paris,2,solo,culture,424
Berlin,7,solo,nightlife,703
Rome,4,couple,nature,850
Rome,3,family,shopping,1031
Paris,5,couple,shopping,1329
Amsterdam,6,couple,culture,1424
Barcelona,6,family,shopping,1732
Amsterdam,7,couple,nature,1570
Rome,3,solo,nature,327
Barcelona,5,solo,nightlife,679
Barcelona,6,solo,shopping,687
Amsterdam,6,couple,shopping,1422
Rome,4,couple,shopping,810
Barcelona,5,family,nature,1473
Berlin,7,family,nightlife,1867
Barcelona,7,couple,culture,1552
Amsterdam,4,solo,nightlife,496
Berlin,2,family,nature,536
Rome,6,couple,nightlife,1266
Rome,2,couple,culture,490
Berlin,7,couple,shopping,1146
Paris,7,family,shopping,2692
Barcelona,2,solo,culture,341
Amsterdam,2,solo,nature,348
Rome,5,solo,nature,624
Berlin,3,family,nature,740
Paris,4,family,nightlife,1578
Paris,5,couple,culture,1262
Paris,2,solo,shopping,434
Berlin,5,couple,culture,798
Paris,5,solo,culture,797
Amsterdam,6,solo,shopping,740
Barcelona,7,family,shopping,2122
Rome,7,couple,culture,1495
Barcelona,6,couple,nightlife,1291
Rome,3,solo,nature,404
Berlin,3,couple,nightlife,522
Berlin,7,couple,shopping,1152
Amsterdam,2,solo,shopping,282
Rome,3,couple,shopping,672
Berlin,5,solo,shopping,454
Amsterdam,3,family,culture,957
Paris,2,family,shopping,865
Rome,6,couple,culture,1464
Barcelona,4,family,culture,1191
Berlin,4,couple,nightlife,699
Rome,5,solo,nature,762
Berlin,3,family,culture,800
Barcelona,4,solo,shopping,415
Barcelona,5,couple,nature,1048
Barcelona,5,family,nature,1529
Rome,5,solo,culture,715
Paris,3,solo,nightlife,448
Amsterdam,3,couple,nightlife,637
Paris,3,couple,nightlife,723
Paris,3,family,culture,1038
Paris,3,solo,culture,452
