city,interest,attractions,ideal_duration
Amsterdam,culture,22,Long
Rome,nightlife,28,Long
Berlin,shopping,18,Medium
Rome,nightlife,28,Long
Amsterdam,nightlife,10,Short
Barcelona,nature,19,Medium
Berlin,nightlife,28,Long
Paris,nightlife,29,Long
Barcelona,nightlife,24,Long
Rome,shopping,17,Medium
Amsterdam,nightlife,23,Long
Rome,nightlife,27,Long
Paris,shopping,12,Medium
Rome,shopping,28,Long
Paris,shopping,25,Long
Amsterdam,culture,21,Long
Berlin,nature,16,Medium
Berlin,culture,9,Short
Amsterdam,nightlife,22,Long
Amsterdam,shopping,19,Medium
Barcelona,nightlife,22,Long
Rome,nature,24,Long
Amsterdam,nature,15,Medium
Amsterdam,nature,13,Medium
Berlin,nightlife,29,Long
Barcelona,shopping,25,Long
Berlin,nightlife,9,Short
Berlin,nature,11,Short
Amsterdam,culture,15,Medium
Barcelona,nightlife,20,Long
Berlin,shopping,28,Long
Berlin,culture,20,Long
Paris,culture,22,Long
Barcelona,culture,14,Medium
Paris,nightlife,8,Short
Amsterdam,nightlife,18,Medium
Rome,culture,15,Medium
Rome,shopping,8,Short
Rome,culture,17,Medium
Berlin,culture,14,Medium
Paris,nightlife,19,Medium
Berlin,culture,23,Long
Barcelona,shopping,19,Medium
Rome,shopping,8,Short
Rome,culture,22,Long
Rome,culture,12,Medium
Berlin,shopping,21,Long
Rome,culture,22,Long
Berlin,nature,20,Long
Rome,shopping,14,Medium
Paris,nightlife,11,Short
Barcelona,shopping,14,Medium
Barcelona,shopping,18,Medium
Barcelona,nightlife,20,Long
Rome,shopping,29,Long
Amsterdam,nature,17,Medium
Barcelona,nature,28,Long
Amsterdam,nightlife,19,Medium
Amsterdam,nightlife,18,Medium
Berlin,shopping,14,Medium
Paris,culture,27,Long
Barcelona,culture,10,Short
Rome,culture,12,Medium
Paris,shopping,17,Medium
Amsterdam,nightlife,22,Long
Rome,nature,16,Medium
Amsterdam,culture,24,Long
Berlin,nightlife,19,Medium
Berlin,shopping,24,Long
Barcelona,culture,24,Long
Rome,culture,9,Short
Berlin,nightlife,29,Long
Barcelona,nightlife,8,Short
Paris,shopping,9,Short
Barcelona,nightlife,13,Medium
Amsterdam,shopping,18,Medium
Rome,culture,13,Medium
Barcelona,nightlife,9,Short
Rome,shopping,23,Long
Paris,culture,13,Medium
Barcelona,shopping,27,Long
Amsterdam,shopping,11,Short
Rome,nature,10,Short
Rome,nightlife,14,Medium
Amsterdam,culture,8,Short
Berlin,nightlife,8,Short
Rome,nightlife,25,Long
Berlin,shopping,14,Medium
Amsterdam,nightlife,23,Long
Paris,nightlife,24,Long
Berlin,culture,23,Long
Amsterdam,culture,12,Medium
Rome,shopping,16,Medium
Paris,shopping,26,Long
Rome,nightlife,29,Long
Paris,nightlife,27,Long
Rome,culture,15,Medium
Amsterdam,nature,15,Medium
Amsterdam,nature,10,Short
Paris,shopping,25,Long
Berlin,nature,29,Long
Rome,nightlife,16,Medium
Amsterdam,culture,11,Short
Paris,nature,28,Long
Amsterdam,nightlife,15,Medium
Rome,culture,8,Short
Amsterdam,shopping,26,Long
Barcelona,shopping,29,Long
Rome,shopping,9,Short
Barcelona,nature,8,Short
Amsterdam,shopping,8,Short
Barcelona,nightlife,23,Long
Rome,nightlife,10,Short
Paris,nightlife,24,Long
Amsterdam,nightlife,21,Long
Barcelona,nature,10,Short
Amsterdam,culture,12,Medium
Barcelona,culture,21,Long
Barcelona,shopping,10,Short
Amsterdam,culture,27,Long
Barcelona,culture,8,Short
Rome,nightlife,25,Long
Paris,nature,29,Long
Berlin,shopping,15,Medium
Berlin,nightlife,22,Long
Berlin,shopping,17,Medium
Berlin,nature,24,Long
Paris,culture,18,Medium
Barcelona,nature,10,Short
Berlin,culture,20,Long
Amsterdam,nature,14,Medium
Paris,nightlife,20,Long
Amsterdam,culture,15,Medium
Amsterdam,shopping,22,Long
Amsterdam,nature,9,Short
Rome,culture,29,Long
Berlin,nature,29,Long
Paris,nightlife,17,Medium
Rome,nightlife,12,Medium
Paris,nightlife,28,Long
Amsterdam,nightlife,19,Medium
Barcelona,shopping,11,Short
Barcelona,nightlife,27,Long
Rome,shopping,15,Medium
Amsterdam,nightlife,20,Long
Berlin,nightlife,17,Medium
Rome,culture,26,Long
Amsterdam,nature,12,Medium
Berlin,culture,16,Medium
Amsterdam,culture,8,Short
Berlin,nature,8,Short
Berlin,nightlife,29,Long
Paris,nightlife,20,Long
Barcelona,culture,23,Long
Barcelona,shopping,12,Medium
Barcelona,shopping,10,Short
Amsterdam,nature,23,Long
Rome,culture,29,Long
Paris,culture,21,Long
Amsterdam,culture,22,Long
Paris,nature,21,Long
Amsterdam,culture,19,Medium
Berlin,nature,23,Long
Barcelona,shopping,11,Short
Paris,nature,12,Medium
Berlin,nature,29,Long
Barcelona,nightlife,9,Short
Amsterdam,shopping,17,Medium
Berlin,shopping,8,Short
Barcelona,culture,11,Short
Berlin,culture,27,Long
Amsterdam,nature,10,Short
Amsterdam,culture,8,Short
Barcelona,shopping,18,Medium
Barcelona,nightlife,10,Short
Paris,culture,15,Medium
Berlin,shopping,19,Medium
Barcelona,culture,19,Medium
Berlin,culture,26,Long
Berlin,shopping,24,Long
Berlin,nightlife,17,Medium
Berlin,nature,9,Short
Rome,culture,14,Medium
Amsterdam,nature,28,Long
Berlin,culture,18,Medium
Barcelona,nightlife,11,Short
Paris,culture,11,Short
Berlin,culture,16,Medium
Rome,culture,10,Short
Amsterdam,nature,24,Long
Barcelona,nightlife,24,Long
Barcelona,shopping,10,Short
Paris,nature,24,Long
Paris,nature,27,Long
Paris,nature,20,Long
Rome,shopping,24,Long
Amsterdam,nightlife,16,Medium
Rome,nightlife,16,Medium
Amsterdam,nature,27,Long
Rome,nature,22,Long
Barcelona,culture,10,Short
Amsterdam,culture,27,Long
Rome,culture,11,Short
Barcelona,shopping,23,Long
Paris,shopping,20,Long
Barcelona,nature,14,Medium
Berlin,culture,10,Short
Barcelona,shopping,18,Medium
Berlin,shopping,19,Medium
Paris,nature,19,Medium
Paris,culture,13,Medium
Barcelona,nightlife,17,Medium
Paris,nature,9,Short
Barcelona,culture,12,Medium
Rome,nightlife,23,Long
Barcelona,culture,29,Long
Amsterdam,culture,14,Medium
Paris,culture,11,Short
Amsterdam,nature,26,Long
Barcelona,nightlife,29,Long
Rome,nature,26,Long
Rome,culture,20,Long
Berlin,nightlife,27,Long
Amsterdam,nightlife,16,Medium
Paris,shopping,20,Long
Amsterdam,nature,24,Long
Paris,nightlife,8,Short
Barcelona,nature,19,Medium
Barcelona,nightlife,20,Long
Barcelona,shopping,28,Long
Barcelona,shopping,12,Medium
Amsterdam,shopping,26,Long
Amsterdam,culture,25,Long
Paris,culture,21,Long
Paris,culture,29,Long
Rome,nightlife,18,Medium
Amsterdam,nature,23,Long
Amsterdam,nightlife,28,Long
Berlin,nightlife,11,Short
Berlin,nightlife,25,Long
Amsterdam,nightlife,12,Medium
Paris,nightlife,29,Long
Paris,culture,8,Short
Barcelona,nightlife,20,Long
Amsterdam,nightlife,20,Long
Rome,culture,13,Medium
Berlin,shopping,12,Medium
Paris,nature,17,Medium
Berlin,shopping,20,Long
Barcelona,shopping,8,Short
Paris,nature,22,Long
Paris,shopping,28,Long
Berlin,shopping,29,Long
Rome,shopping,24,Long
Barcelona,culture,9,Short
Paris,shopping,8,Short
Barcelona,nightlife,13,Medium
Amsterdam,culture,12,Medium
Barcelona,nature,10,Short
Barcelona,shopping,12,Medium
Barcelona,culture,17,Medium
Berlin,shopping,24,Long
Barcelona,nature,16,Medium
Paris,shopping,20,Long
Barcelona,nightlife,8,Short
Paris,nightlife,9,Short
Amsterdam,shopping,15,Medium
Berlin,nature,9,Short
Rome,shopping,25,Long
Amsterdam,culture,29,Long
Amsterdam,culture,24,Long
Barcelona,culture,21,Long
Berlin,shopping,26,Long
Amsterdam,nature,13,Medium
Berlin,nature,25,Long
Rome,shopping,9,Short
Amsterdam,culture,13,Medium
Paris,nightlife,22,Long
Amsterdam,nature,17,Medium
Rome,culture,12,Medium
Barcelona,nightlife,17,Medium
Paris,nature,24,Long
Amsterdam,nightlife,12,Medium
Berlin,nature,28,Long
Berlin,culture,18,Medium
Rome,nightlife,18,Medium
Rome,shopping,23,Long
Rome,nature,23,Long
Amsterdam,nightlife,11,Short
Paris,shopping,10,Short
Rome,culture,25,Long
Barcelona,nature,26,Long
Rome,culture,12,Medium
Berlin,nightlife,17,Medium
Barcelona,nature,28,Long
Paris,culture,16,Medium
Amsterdam,nature,21,Long
Berlin,culture,21,Long
Berlin,culture,16,Medium
Berlin,culture,22,Long
Paris,nature,22,Long
Rome,shopping,23,Long
Barcelona,culture,11,Short
Paris,nightlife,24,Long
Rome,culture,27,Long
Berlin,nightlife,21,Long
Berlin,culture,21,Long
Rome,nightlife,26,Long
Rome,shopping,21,Long
Rome,shopping,20,Long
Berlin,nature,13,Medium
Rome,shopping,22,Long
Paris,shopping,12,Medium
Amsterdam,nature,14,Medium
