city,days,travel_type,interest,recommended_budget
London,5,solo,shopping,806
Edinburgh,6,solo,shopping,861
London,4,family,nightlife,1616
Edinburgh,4,couple,culture,853
Edinburgh,5,couple,nature,1219
Edinburgh,5,solo,culture,803
Mumbai,7,solo,nightlife,513
Hyderabad,4,family,shopping,669
Edinburgh,5,family,nature,1839
London,7,family,nightlife,2754
Edinburgh,2,family,culture,650
London,6,solo,shopping,877
Edinburgh,2,couple,nature,625
Hyderabad,3,solo,nature,163
Edinburgh,5,family,nightlife,1657
London,4,couple,culture,1151
Mumbai,5,couple,nature,670
Mumbai,3,couple,culture,472
Mumbai,3,couple,nature,471
Edinburgh,7,family,nightlife,2364
Edinburgh,7,family,nightlife,2598
Mumbai,6,solo,nature,460
Hyderabad,3,solo,nightlife,267
Edinburgh,6,solo,culture,754
Hyderabad,2,solo,shopping,28
Edinburgh,2,family,shopping,842
Hyderabad,4,family,culture,622
Hyderabad,3,family,nature,390
Edinburgh,2,couple,culture,423
London,7,solo,shopping,1191
Edinburgh,7,family,shopping,2542
London,6,family,nature,2430
Hyderabad,6,couple,shopping,653
London,4,solo,shopping,554
Mumbai,3,solo,shopping,187
Edinburgh,2,solo,nightlife,311
Mumbai,6,family,shopping,1261
London,4,solo,nightlife,552
Edinburgh,4,family,nature,1327
Mumbai,3,solo,nature,309
Hyderabad,7,couple,nature,688
Edinburgh,3,family,nightlife,1166
London,7,solo,culture,1140
London,7,solo,nightlife,1224
Hyderabad,4,family,nature,699
London,2,couple,culture,668
London,3,family,shopping,1217
Edinburgh,2,solo,nature,420
Mumbai,5,couple,shopping,666
London,2,solo,culture,403
Hyderabad,4,solo,nature,269
Edinburgh,7,family,culture,2573
Hyderabad,2,family,nature,329
Hyderabad,5,couple,nightlife,607
Edinburgh,5,family,shopping,1833
London,2,family,nature,723
Hyderabad,5,couple,nature,623
London,2,solo,nightlife,406
Mumbai,6,family,nightlife,1211
Edinburgh,4,couple,shopping,998
Edinburgh,5,solo,culture,767
Edinburgh,3,solo,shopping,539
Hyderabad,2,couple,shopping,262
Mumbai,3,family,shopping,605
Mumbai,2,solo,nature,178
Edinburgh,7,solo,culture,1039
London,2,solo,shopping,366
Edinburgh,4,couple,nightlife,1012
Edinburgh,5,family,culture,1849
Edinburgh,7,couple,shopping,1677
Mumbai,2,family,culture,367
Mumbai,7,couple,nature,845
London,6,solo,nightlife,1020
Edinburgh,2,couple,culture,423
Edinburgh,4,solo,nightlife,492
Edinburgh,5,family,shopping,1863
London,7,couple,nature,1841
Mumbai,6,family,nature,1032
London,4,couple,culture,1017
Hyderabad,5,family,nightlife,874
Hyderabad,5,solo,nightlife,346
Edinburgh,4,solo,nightlife,476
Edinburgh,5,couple,culture,1135
Hyderabad,7,family,nightlife,1182
Hyderabad,6,solo,nature,440
London,4,solo,nightlife,730
Hyderabad,6,family,culture,866
Edinburgh,3,solo,nature,542
Mumbai,3,family,nightlife,635
Edinburgh,3,family,nature,1100
Mumbai,4,couple,nature,627
Hyderabad,2,solo,shopping,265
Edinburgh,6,couple,shopping,1353
London,3,solo,nightlife,392
Edinburgh,3,family,culture,985
Hyderabad,5,solo,nightlife,437
Edinburgh,7,family,shopping,2492
Edinburgh,3,couple,nightlife,828
London,7,family,culture,2885
London,7,solo,nature,1077
Mumbai,7,solo,nightlife,594
Mumbai,7,family,nightlife,1312
Hyderabad,6,solo,shopping,455
Mumbai,6,couple,shopping,763
London,5,solo,nature,823
Mumbai,7,family,culture,1331
London,4,couple,shopping,1077
Hyderabad,3,solo,nature,102
London,2,solo,culture,277
Mumbai,2,family,nature,370
Mumbai,7,solo,nightlife,661
Hyderabad,2,solo,shopping,211
