city,interest,attractions,ideal_duration
London,nightlife,24,Long
London,shopping,21,Long
Edinburgh,shopping,21,Long
Edinburgh,nature,18,Medium
Hyderabad,nightlife,17,Medium
Hyderabad,shopping,17,Medium
Edinburgh,nightlife,16,Medium
London,culture,19,Medium
Hyderabad,nightlife,9,Short
Hyderabad,nature,11,Short
London,shopping,19,Medium
Edinburgh,nature,17,Medium
Mumbai,culture,21,Long
Mumbai,nature,19,Medium
Mumbai,nightlife,13,Medium
Mumbai,culture,12,Medium
Hyderabad,nightlife,8,Short
London,culture,20,Long
London,culture,27,Long
Edinburgh,shopping,15,Medium
Hyderabad,nightlife,14,Medium
London,nightlife,28,Long
Hyderabad,shopping,12,Medium
Mumbai,shopping,20,Long
Edinburgh,culture,17,Medium
Hyderabad,nightlife,11,Short
Hyderabad,shopping,11,Short
Mumbai,nightlife,21,Long
Mumbai,nightlife,21,Long
London,nature,26,Long
Mumbai,culture,20,Long
Mumbai,nightlife,16,Medium
Mumbai,nightlife,17,Medium
Edinburgh,culture,20,Long
Mumbai,shopping,16,Medium
Hyderabad,shopping,8,Short
London,culture,20,Long
Hyderabad,nightlife,17,Medium
London,shopping,23,Long
Hyderabad,nightlife,9,Short
London,nightlife,29,Long
Mumbai,nightlife,15,Medium
Edinburgh,shopping,17,Medium
Edinburgh,shopping,21,Long
Edinburgh,shopping,24,Long
Edinburgh,culture,23,Long
London,shopping,21,Long
Mumbai,culture,16,Medium
Hyderabad,culture,10,Short
Edinburgh,nature,17,Medium
London,culture,23,Long
Edinburgh,nature,22,Long
Hyderabad,nature,9,Short
Edinburgh,culture,17,Medium
Hyderabad,nature,12,Medium
London,shopping,29,Long
London,nature,23,Long
Hyderabad,shopping,13,Medium
Mumbai,culture,12,Medium
Edinburgh,shopping,18,Medium
Mumbai,shopping,16,Medium
Mumbai,culture,12,Medium
Edinburgh,shopping,22,Long
Mumbai,shopping,21,Long
Mumbai,nightlife,17,Medium
London,shopping,27,Long
Edinburgh,culture,23,Long
London,nature,26,Long
Hyderabad,nightlife,17,Medium
Hyderabad,nightlife,8,Short
London,shopping,24,Long
London,culture,27,Long
Mumbai,culture,21,Long
London,nightlife,25,Long
Edinburgh,nightlife,19,Medium
Hyderabad,nightlife,11,Short
Edinburgh,nightlife,14,Medium
Edinburgh,shopping,23,Long
Hyderabad,nature,12,Medium
Hyderabad,nature,17,Medium
Edinburgh,culture,20,Long
Edinburgh,shopping,16,Medium
Edinburgh,nature,22,Long
Hyderabad,nature,12,Medium
Edinburgh,nightlife,20,Long
Edinburgh,culture,23,Long
Mumbai,culture,13,Medium
Mumbai,shopping,12,Medium
Hyderabad,nightlife,15,Medium
Edinburgh,nightlife,15,Medium
London,nightlife,20,Long
Hyderabad,nightlife,10,Short
Mumbai,shopping,14,Medium
London,culture,27,Long
Mumbai,nature,14,Medium
Edinburgh,nature,21,Long
Edinburgh,culture,23,Long
